item_id,product_id,stock_id,qty,is_in_stock,manage_stock,min_qty,max_sale_qty,backorders,notify_stock_qty
1,1,1,8,1,1,0,5,0,2
2,2,1,4,1,1,0,5,0,2
3,3,1,8,1,1,0,5,0,2
4,4,1,0,0,1,0,5,0,2
5,5,1,43,1,1,0,5,0,2
6,6,1,46,1,1,0,5,0,2
7,7,1,7,1,1,0,5,0,2
8,8,1,43,1,1,0,5,0,2
9,9,1,8,1,1,0,5,0,2
10,10,1,4,1,1,0,5,0,2
11,11,1,49,1,1,0,5,0,2
12,12,1,41,1,1,0,5,0,2
13,13,1,5,1,1,0,5,0,2
14,14,1,1,1,1,0,5,0,2
15,15,1,18,1,1,0,5,0,2
16,16,1,27,1,1,0,5,0,2
17,17,1,10,1,1,0,5,0,2
18,18,1,29,1,1,0,5,0,2
19,19,1,0,0,1,0,5,0,2
20,20,1,46,1,1,0,5,0,2
21,21,1,46,1,1,0,5,0,2
22,22,1,16,1,1,0,5,0,2
23,23,1,32,1,1,0,5,0,2
24,24,1,48,1,1,0,5,0,2
25,25,1,11,1,1,0,5,0,2
26,26,1,32,1,1,0,5,0,2
27,27,1,6,1,1,0,5,0,2
28,28,1,40,1,1,0,5,0,2
29,29,1,19,1,1,0,5,0,2
30,30,1,40,1,1,0,5,0,2
31,31,1,8,1,1,0,5,0,2
32,32,1,9,1,1,0,5,0,2
33,33,1,3,1,1,0,5,0,2
34,34,1,2,1,1,0,5,0,2
35,35,1,5,1,1,0,5,0,2
36,36,1,2,1,1,0,5,0,2
37,37,1,8,1,1,0,5,0,2
38,38,1,8,1,1,0,5,0,2
39,39,1,0,0,1,0,5,0,2
40,40,1,9,1,1,0,5,0,2
41,41,1,5,1,1,0,5,0,2
42,42,1,7,1,1,0,5,0,2
43,43,1,0,0,1,0,5,0,2
44,44,1,1,1,1,0,5,0,2
45,45,1,5,1,1,0,5,0,2
46,46,1,19,1,1,0,5,0,2
47,47,1,15,1,1,0,5,0,2
48,48,1,0,0,1,0,5,0,2
49,49,1,15,1,1,0,5,0,2
50,50,1,36,1,1,0,5,0,2
51,51,1,1,1,1,0,5,0,2
52,52,1,5,1,1,0,5,0,2
53,53,1,7,1,1,0,5,0,2
54,54,1,4,1,1,0,5,0,2
55,55,1,48,1,1,0,5,0,2
56,56,1,34,1,1,0,5,0,2
57,57,1,49,1,1,0,5,0,2
58,58,1,8,1,1,0,5,0,2
59,59,1,8,1,1,0,5,0,2
60,60,1,42,1,1,0,5,0,2
