entity_id,parent_id,method,amount_ordered,amount_paid
1,1,cash_on_delivery,54950000,54950000
2,2,amex_card,72220000,72220000
3,3,visa_card,29437500,29437500
4,4,bank_transfer,4317500,4317500
5,5,bank_transfer,3297000,0
6,6,credit_card,27475000,27475000
7,7,visa_card,5102500,5102500
8,8,bank_transfer,4317500,4317500
9,9,visa_card,8164000,8164000
10,10,amex_card,20410000,20410000
11,11,visa_card,1805500,1805500
12,12,credit_card,1805500,0
13,13,cash_on_delivery,176625000,176625000
14,14,cash_on_delivery,9420000,9420000
15,15,amex_card,155430000,155430000
16,16,cash_on_delivery,1236375000,1236375000
17,17,cash_on_delivery,3297000,0
18,18,cash_on_delivery,54165000,0
19,19,amex_card,6672500,6672500
20,20,bank_transfer,108330000,108330000
21,21,visa_card,9812500,9812500
22,22,bank_transfer,9263000,0
23,23,bank_transfer,3297000,3297000
24,24,credit_card,9263000,0
25,25,credit_card,9812500,0
26,26,amex_card,6672500,0
27,27,credit_card,27475000,27475000
28,28,credit_card,178980000,178980000
29,29,bank_transfer,6672500,6672500
30,30,bank_transfer,9812500,9812500
31,31,bank_transfer,42390000,42390000
32,32,amex_card,26690000,26690000
33,33,amex_card,12246000,12246000
34,34,cash_on_delivery,9812500,9812500
35,35,visa_card,9263000,9263000
36,36,bank_transfer,5102500,5102500
37,37,visa_card,17662500,17662500
38,38,visa_card,28260000,28260000
39,39,visa_card,4710000,4710000
40,40,bank_transfer,76930000,0
41,41,credit_card,8242500,0
42,42,amex_card,29045000,29045000
43,43,cash_on_delivery,6672500,6672500
44,44,amex_card,50240000,50240000
45,45,amex_card,17662500,17662500
46,46,visa_card,20410000,20410000
47,47,visa_card,18055000,0
48,48,amex_card,4710000,4710000
49,49,visa_card,11618000,11618000
50,50,bank_transfer,4710000,4710000
51,51,amex_card,8242500,8242500
52,52,bank_transfer,4710000,4710000
53,53,visa_card,6672500,6672500
54,54,bank_transfer,27475000,27475000
55,55,cash_on_delivery,18055000,18055000
56,56,visa_card,50240000,50240000
57,57,visa_card,5102500,5102500
58,58,amex_card,98125000,98125000
59,59,credit_card,251200000,0
60,60,visa_card,5652000,5652000
61,61,bank_transfer,119320000,119320000
62,62,visa_card,5652000,5652000
63,63,cash_on_delivery,27475000,27475000
64,64,visa_card,76930000,76930000
65,65,visa_card,9263000,9263000
66,66,credit_card,11618000,0
67,67,credit_card,20017500,20017500
68,68,amex_card,176625000,176625000
69,69,amex_card,4082000,4082000
70,70,bank_transfer,5102500,5102500
71,71,amex_card,5102500,5102500
72,72,visa_card,27475000,0
73,73,bank_transfer,56520000,56520000
74,74,bank_transfer,4710000,4710000
75,75,credit_card,10205000,10205000
76,76,bank_transfer,4082000,4082000
77,77,cash_on_delivery,14130000,14130000
78,78,cash_on_delivery,529875000,529875000
79,79,cash_on_delivery,50240000,50240000
80,80,amex_card,17662500,17662500
81,81,bank_transfer,6672500,6672500
82,82,credit_card,4317500,4317500
83,83,bank_transfer,17662500,0
84,84,credit_card,18526000,18526000
85,85,amex_card,65940000,65940000
86,86,bank_transfer,50240000,0
87,87,cash_on_delivery,61230000,61230000
88,88,amex_card,11382500,0
89,89,bank_transfer,4710000,4710000
90,90,cash_on_delivery,6672500,0
91,91,amex_card,13345000,13345000
92,92,cash_on_delivery,4710000,4710000
93,93,credit_card,6672500,0
94,94,credit_card,194680000,194680000
95,95,credit_card,5652000,5652000
96,96,cash_on_delivery,5652000,5652000
97,97,cash_on_delivery,65940000,65940000
98,98,bank_transfer,176625000,0
99,99,credit_card,9420000,9420000
100,100,cash_on_delivery,6672500,0
101,101,cash_on_delivery,1805500,1805500
102,102,cash_on_delivery,18055000,18055000
103,103,visa_card,4710000,0
104,104,credit_card,6594000,6594000
105,105,visa_card,6672500,0
106,106,credit_card,76930000,0
107,107,credit_card,9812500,9812500
108,108,credit_card,20410000,20410000
109,109,amex_card,6594000,0
110,110,visa_card,6672500,6672500
111,111,visa_card,9420000,9420000
112,112,bank_transfer,98125000,98125000
113,113,credit_card,7065000,7065000
114,114,credit_card,3297000,3297000
115,115,bank_transfer,4710000,4710000
116,116,credit_card,3297000,3297000
117,117,bank_transfer,20410000,20410000
118,118,cash_on_delivery,53380000,53380000
119,119,credit_card,14130000,14130000
120,120,amex_card,53380000,53380000
121,121,visa_card,7065000,7065000
122,122,credit_card,4710000,0
123,123,cash_on_delivery,54165000,54165000
124,124,credit_card,18055000,18055000
125,125,credit_card,17662500,17662500
126,126,cash_on_delivery,6672500,6672500
127,127,visa_card,27475000,0
128,128,amex_card,4082000,4082000
129,129,amex_card,23157500,0
130,130,bank_transfer,155430000,155430000
131,131,amex_card,17662500,17662500
132,132,bank_transfer,4710000,4710000
133,133,credit_card,3297000,3297000
134,134,credit_card,9420000,0
135,135,cash_on_delivery,4710000,4710000
136,136,cash_on_delivery,15307500,15307500
137,137,visa_card,8242500,8242500
138,138,visa_card,72220000,72220000
139,139,amex_card,14522500,0
140,140,cash_on_delivery,9812500,9812500
141,141,visa_card,9812500,9812500
142,142,bank_transfer,50240000,50240000
143,143,visa_card,82425000,82425000
144,144,cash_on_delivery,56520000,56520000
145,145,amex_card,98125000,98125000
146,146,cash_on_delivery,14130000,0
147,147,amex_card,14130000,14130000
148,148,visa_card,5652000,5652000
149,149,credit_card,65940000,65940000
150,150,bank_transfer,6672500,6672500
151,151,bank_transfer,11382500,11382500
152,152,visa_card,80070000,80070000
153,153,amex_card,54165000,0
154,154,visa_card,72220000,0
155,155,amex_card,54950000,54950000
156,156,bank_transfer,6672500,6672500
157,157,bank_transfer,17662500,17662500
158,158,visa_card,82425000,0
159,159,visa_card,6594000,6594000
160,160,amex_card,9263000,9263000
161,161,cash_on_delivery,27475000,27475000
162,162,amex_card,3611000,0
163,163,amex_card,325775000,0
164,164,amex_card,4710000,4710000
165,165,amex_card,26690000,26690000
166,166,amex_card,1805500,0
167,167,credit_card,54165000,0
168,168,cash_on_delivery,4082000,0
169,169,visa_card,12246000,12246000
170,170,bank_transfer,4710000,4710000
171,171,visa_card,9420000,9420000
172,172,visa_card,17662500,0
173,173,cash_on_delivery,1805500,0
174,174,cash_on_delivery,8164000,8164000
175,175,visa_card,18526000,18526000
176,176,credit_card,72220000,72220000
177,177,visa_card,100480000,0
178,178,amex_card,76930000,0
179,179,amex_card,35325000,35325000
180,180,amex_card,35325000,35325000
181,181,bank_transfer,3297000,3297000
182,182,cash_on_delivery,8164000,8164000
183,183,cash_on_delivery,19625000,0
184,184,cash_on_delivery,6672500,0
185,185,amex_card,27475000,27475000
186,186,visa_card,9420000,9420000
187,187,amex_card,325775000,0
188,188,bank_transfer,17662500,17662500
189,189,cash_on_delivery,902750000,0
190,190,credit_card,17662500,17662500
191,191,credit_card,251200000,251200000
192,192,amex_card,35325000,35325000
193,193,visa_card,5102500,5102500
194,194,amex_card,5102500,0
195,195,credit_card,6672500,0
196,196,credit_card,8242500,8242500
197,197,amex_card,14130000,14130000
198,198,credit_card,34147500,0
199,199,amex_card,5652000,5652000
200,200,visa_card,54165000,54165000
201,201,visa_card,14130000,14130000
202,202,bank_transfer,14130000,0
203,203,visa_card,1099000000,1099000000
204,204,cash_on_delivery,20410000,0
205,205,credit_card,27475000,0
206,206,amex_card,3611000,0
207,207,bank_transfer,27475000,0
208,208,credit_card,3297000,3297000
209,209,visa_card,251200000,251200000
210,210,bank_transfer,20410000,20410000
211,211,visa_card,1805500,1805500
212,212,cash_on_delivery,17662500,17662500
213,213,visa_card,5102500,5102500
214,214,visa_card,3297000,3297000
215,215,bank_transfer,6594000,6594000
216,216,cash_on_delivery,5652000,5652000
217,217,visa_card,54950000,54950000
218,218,bank_transfer,4710000,4710000
219,219,amex_card,8635000,8635000
220,220,credit_card,6672500,6672500
221,221,visa_card,9263000,0
222,222,credit_card,8164000,8164000
223,223,cash_on_delivery,194680000,0
224,224,credit_card,27475000,27475000
225,225,amex_card,216660000,216660000
226,226,amex_card,11382500,11382500
227,227,visa_card,56520000,56520000
228,228,cash_on_delivery,72220000,0
229,229,visa_card,56520000,56520000
230,230,cash_on_delivery,62800000,62800000
231,231,bank_transfer,18526000,18526000
232,232,visa_card,4710000,4710000
233,233,visa_card,34854000,34854000
234,234,bank_transfer,5652000,5652000
235,235,cash_on_delivery,82425000,82425000
236,236,amex_card,4710000,4710000
237,237,credit_card,5652000,5652000
238,238,bank_transfer,17662500,17662500
239,239,visa_card,223725000,223725000
240,240,credit_card,216660000,0
241,241,cash_on_delivery,4317500,4317500
242,242,cash_on_delivery,62800000,62800000
243,243,visa_card,4710000,4710000
244,244,bank_transfer,9263000,0
245,245,visa_card,9812500,0
246,246,cash_on_delivery,4082000,4082000
247,247,cash_on_delivery,7065000,7065000
248,248,credit_card,8242500,8242500
249,249,bank_transfer,98125000,98125000
250,250,credit_card,4317500,4317500
251,251,visa_card,27475000,27475000
252,252,bank_transfer,197820000,197820000
253,253,credit_card,153860000,0
254,254,amex_card,251200000,0
255,255,visa_card,27475000,27475000
256,256,bank_transfer,223725000,223725000
257,257,visa_card,5102500,5102500
258,258,bank_transfer,162495000,162495000
259,259,cash_on_delivery,176625000,0
260,260,credit_card,251200000,251200000
261,261,cash_on_delivery,3297000,3297000
262,262,credit_card,230790000,230790000
263,263,visa_card,5102500,5102500
264,264,visa_card,27475000,27475000
265,265,cash_on_delivery,13345000,0
266,266,credit_card,54950000,54950000
267,267,visa_card,7065000,7065000
268,268,amex_card,4710000,0
269,269,credit_card,22372500,22372500
270,270,amex_card,14130000,14130000
271,271,cash_on_delivery,98125000,0
272,272,credit_card,53380000,53380000
273,273,amex_card,4710000,4710000
274,274,cash_on_delivery,72220000,72220000
275,275,credit_card,5652000,0
276,276,cash_on_delivery,11382500,0
277,277,cash_on_delivery,502400000,502400000
278,278,cash_on_delivery,1805500,1805500
279,279,bank_transfer,219800000,0
280,280,cash_on_delivery,5102500,5102500
281,281,visa_card,3297000,0
282,282,bank_transfer,27475000,27475000
283,283,cash_on_delivery,56520000,0
284,284,credit_card,4710000,0
285,285,cash_on_delivery,17662500,0
286,286,bank_transfer,9263000,0
287,287,amex_card,4317500,4317500
288,288,amex_card,4082000,0
289,289,amex_card,4317500,4317500
290,290,visa_card,11618000,0
291,291,credit_card,4710000,0
292,292,cash_on_delivery,76930000,76930000
293,293,credit_card,27475000,0
294,294,amex_card,9812500,9812500
295,295,credit_card,6672500,6672500
296,296,amex_card,14130000,14130000
297,297,amex_card,325775000,325775000
298,298,amex_card,113040000,0
299,299,bank_transfer,5102500,0
300,300,cash_on_delivery,11382500,11382500
301,301,credit_card,8164000,0
302,302,credit_card,59660000,0
303,303,cash_on_delivery,27475000,27475000
304,304,visa_card,6672500,0
305,305,amex_card,1805500,1805500
306,306,bank_transfer,22372500,0
307,307,credit_card,4082000,0
308,308,bank_transfer,18526000,18526000
309,309,visa_card,353250000,353250000
310,310,credit_card,14522500,14522500
311,311,visa_card,5102500,0
312,312,bank_transfer,3297000,0
313,313,amex_card,155430000,0
314,314,amex_card,9420000,9420000
315,315,bank_transfer,4710000,4710000
316,316,amex_card,14522500,14522500
317,317,bank_transfer,3611000,3611000
318,318,credit_card,76930000,76930000
319,319,credit_card,27475000,27475000
320,320,credit_card,17662500,0
321,321,credit_card,5652000,5652000
322,322,credit_card,6672500,6672500
323,323,bank_transfer,4710000,4710000
324,324,bank_transfer,17662500,17662500
325,325,visa_card,20410000,0
326,326,amex_card,178980000,178980000
327,327,bank_transfer,80070000,80070000
328,328,bank_transfer,11618000,11618000
329,329,bank_transfer,42390000,42390000
330,330,credit_card,26690000,26690000
331,331,amex_card,1805500,1805500
332,332,cash_on_delivery,125600000,125600000
333,333,amex_card,11618000,0
334,334,credit_card,4710000,4710000
335,335,cash_on_delivery,17662500,17662500
336,336,bank_transfer,14130000,14130000
337,337,amex_card,82425000,82425000
338,338,bank_transfer,53380000,53380000
339,339,visa_card,155430000,155430000
340,340,visa_card,3297000,3297000
341,341,bank_transfer,53380000,53380000
342,342,credit_card,5102500,5102500
343,343,visa_card,17662500,17662500
344,344,credit_card,4710000,0
345,345,bank_transfer,144440000,144440000
346,346,bank_transfer,6672500,6672500
347,347,bank_transfer,72220000,72220000
348,348,visa_card,9263000,9263000
349,349,credit_card,5102500,5102500
350,350,bank_transfer,702575000,702575000
351,351,bank_transfer,7065000,7065000
352,352,amex_card,17662500,17662500
353,353,credit_card,18055000,18055000
354,354,bank_transfer,7065000,0
355,355,amex_card,14130000,14130000
356,356,amex_card,9812500,0
357,357,amex_card,42390000,42390000
358,358,cash_on_delivery,22372500,22372500
359,359,bank_transfer,28260000,28260000
360,360,credit_card,5102500,0
361,361,bank_transfer,4082000,4082000
362,362,credit_card,80070000,0
363,363,credit_card,23157500,0
364,364,bank_transfer,53380000,0
365,365,credit_card,3297000,3297000
366,366,amex_card,59660000,59660000
367,367,cash_on_delivery,1805500,1805500
