target_id,period,year,month,store_id,employee_id,brand,target_revenue,target_orders
1,2021-01,2021,1,1,,,7434049230,2400
2,2021-01,2021,1,2,,,5137387405,1600
3,2021-01,2021,1,3,,,5273069555,1600
4,2021-01,2021,1,4,,,3634955064,1200
5,2021-01,2021,1,5,,,10257651227,3200
6,2021-01,2021,1,6,,,6305718473,2000
7,2021-01,2021,1,7,,,3740561019,1200
8,2021-01,2021,1,8,,,3297746537,1200
9,2021-01,2021,1,9,,,3240826055,1200
10,2021-01,2021,1,10,,,6702801023,2400
11,2021-01,2021,1,1,1.0,,2162401864,721
12,2021-01,2021,1,1,2.0,,1482650269,494
13,2021-01,2021,1,1,3.0,,2395303367,798
14,2021-01,2021,1,1,4.0,,3759508821,1253
15,2021-01,2021,1,1,8.0,,3106219686,1035
16,2021-01,2021,1,2,19.0,,4180065221,1393
17,2021-01,2021,1,2,20.0,,1998323413,666
18,2021-01,2021,1,2,21.0,,2479337669,826
19,2021-01,2021,1,2,22.0,,1988098444,663
20,2021-01,2021,1,2,26.0,,2305840887,769
21,2021-01,2021,1,3,31.0,,2457111424,819
22,2021-01,2021,1,3,32.0,,3313055585,1104
23,2021-01,2021,1,3,33.0,,3654696768,1218
24,2021-01,2021,1,3,34.0,,1480822540,494
25,2021-01,2021,1,3,38.0,,4690927819,1564
26,2021-01,2021,1,4,43.0,,2008026096,669
27,2021-01,2021,1,4,44.0,,1756828660,586
28,2021-01,2021,1,4,45.0,,4240435209,1413
29,2021-01,2021,1,4,46.0,,4084794655,1362
30,2021-01,2021,1,4,50.0,,2436908586,812
31,2021-01,2021,1,5,55.0,,1701127233,567
32,2021-01,2021,1,5,56.0,,1836040670,612
33,2021-01,2021,1,5,57.0,,2486803827,829
34,2021-01,2021,1,5,58.0,,3166317602,1055
35,2021-01,2021,1,5,62.0,,1759986808,587
36,2021-01,2021,1,6,75.0,,3828698700,1276
37,2021-01,2021,1,6,76.0,,1654075166,551
38,2021-01,2021,1,6,77.0,,4080263699,1360
39,2021-01,2021,1,6,78.0,,1050929071,350
40,2021-01,2021,1,6,82.0,,2042654623,681
41,2021-01,2021,1,7,87.0,,4343669906,1448
42,2021-01,2021,1,7,88.0,,2002991935,668
43,2021-01,2021,1,7,89.0,,3064684461,1022
44,2021-01,2021,1,7,90.0,,2229151737,743
45,2021-01,2021,1,7,94.0,,3494535917,1165
46,2021-01,2021,1,8,99.0,,1723846526,575
47,2021-01,2021,1,8,100.0,,2361569954,787
48,2021-01,2021,1,8,101.0,,4251525617,1417
49,2021-01,2021,1,8,102.0,,1049706157,350
50,2021-01,2021,1,8,106.0,,4146523971,1382
51,2021-01,2021,1,9,111.0,,4360108460,1453
52,2021-01,2021,1,9,112.0,,3594084311,1198
53,2021-01,2021,1,9,113.0,,4431738414,1477
54,2021-01,2021,1,9,114.0,,4430054918,1477
55,2021-01,2021,1,9,118.0,,1784873424,595
56,2021-01,2021,1,10,123.0,,4222015569,1407
57,2021-01,2021,1,10,124.0,,4302123278,1434
58,2021-01,2021,1,10,125.0,,3640499260,1213
59,2021-01,2021,1,10,126.0,,4587055194,1529
60,2021-01,2021,1,10,130.0,,2696651983,899
61,2021-02,2021,2,1,,,5659762797,2000
62,2021-02,2021,2,2,,,3892684818,1333
63,2021-02,2021,2,3,,,4163771186,1333
64,2021-02,2021,2,4,,,3214884410,1000
65,2021-02,2021,2,5,,,8490659366,2667
66,2021-02,2021,2,6,,,4803965959,1667
67,2021-02,2021,2,7,,,2815234008,1000
68,2021-02,2021,2,8,,,2959174419,1000
69,2021-02,2021,2,9,,,2889567231,1000
